fecha,agente,cat,componente,de_hrs,a_hrs,causa
2005-09-21,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-20,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-20,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-20,COBEE,G,KEN01,00:00,06:16,Limitaciones en el suministro de gas
2005-09-20,COBEE,G,KEN02,06:16,24:00,Limitaciones en el suministro de gas
2005-09-20,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-19,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-19,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-19,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-19,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-18,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-18,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-18,COBEE,G,KEN02,00:00,23:46,Limitaciones en el suministro de gas
2005-09-18,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-18,COBEE,G,KEN01,23:46,24:00,Limitaciones en el suministro de gas
2005-09-17,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-17,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-17,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-17,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-16,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-16,VHE,G,VHE02,00:00,06:37,Limitaciones en el suministro de gas
2005-09-16,VHE,G,VHE04,06:37,24:00,Limitaciones en el suministro de gas
2005-09-16,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-16,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-15,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-15,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-15,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-15,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-14,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-14,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-14,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-13,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-13,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-13,EGSA,G,ARJ06,00:00,05:48,Limitaciones en el suministro de gas
2005-09-13,EGSA,G,ARJ06,07:51,24:00,Limitaciones en el suministro de gas
2005-09-12,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-12,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-12,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-12,COBEE,G,KEN02,00:06,15:46,Limitaciones en el suministro de gas
2005-09-12,COBEE,G,KEN02,22:04,24:00,Limitaciones en el suministro de gas
2005-09-11,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-11,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-11,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-10,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-10,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-10,COBEE,G,KEN02,00:00,12:21,Limitaciones en el suministro de gas
2005-09-10,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-09,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-09,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-09,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-09,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-08,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-08,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-08,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
